Indicator Name,geoAreaName,parentName,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017
Proportion of women in managerial positions (%),Afghanistan,Southern Asia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Albania,Southern Europe,,,,,,,,20.5,23.7,22.5,19.1,,16.1,31.9,,,,22.6
Proportion of women in managerial positions (%),Antarctica,World,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Algeria,Northern Africa,,5.2,,5.7,4.9,,,,,,,,,10.6,9.9,,,8.4
Proportion of women in managerial positions (%),American Samoa,Polynesia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Andorra,Southern Europe,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Angola,Middle Africa,,,,,29.5,,,,,,29.8,31.9,,,19.5,,,
Proportion of women in managerial positions (%),Antigua and Barbuda,Caribbean,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Azerbaijan,Western Asia,,,,,,,,,,,25.5,32.8,34.2,33,34.5,35.1,34.9,34.5
Proportion of women in managerial positions (%),Argentina,South America,27.4,27.2,25.8,29,27.4,26.4,27.8,,27.9,32.4,29.9,28,30.4,30.3,30.6,,,30.9
Proportion of women in managerial positions (%),Australia,Australia and New Zealand,30,31.8,32.2,32.7,33.5,34.4,34.3,34.3,35.5,35.5,34.4,36.1,35.7,35.8,36.3,37.6,36.6,
Proportion of women in managerial positions (%),Austria,Western Europe,30.1,30.1,29.3,27.4,26.3,26.8,27.9,26.2,28.1,27.4,28.9,27.5,30.1,29.4,30.3,29.7,31.8,31.8
Proportion of women in managerial positions (%),Bahamas,Caribbean,,39.9,40.4,40.4,42.8,45.8,41.4,43.2,46.3,44.4,,51.6,,,,,,
Proportion of women in managerial positions (%),Bahrain,Western Asia,,12.3,,,10.6,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Bangladesh,Southern Asia,,,,,,,9.7,,,,14.8,,,13.2,,,11.4,10.7
Proportion of women in managerial positions (%),Armenia,Western Asia,,,,,,,,,21.5,,,31.7,,28.8,32.4,29.1,29.5,28.7
Proportion of women in managerial positions (%),Barbados,Caribbean,35.1,41.3,42.2,44.9,43.4,,,,,,,,,48.3,48.6,50.5,48.6,
Proportion of women in managerial positions (%),Belgium,Western Europe,32.1,32.9,31.8,29.9,29.9,31.8,31.5,33.8,32.7,34,34.1,29.9,32.4,31.4,31.7,32.6,32.7,33.6
Proportion of women in managerial positions (%),Bermuda,Northern America,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Bhutan,Southern Asia,,,,,,,,,,,,,,17,16.5,18.5,,
Proportion of women in managerial positions (%),Bolivia (Plurinational State of),South America,,,,,,,,,34.7,35.1,,35.7,31.4,34,39.4,37.2,35.7,35.3
Proportion of women in managerial positions (%),Bosnia and Herzegovina,Southern Europe,,,,,,,20.8,16.1,23,25.3,23.8,21.4,24.2,,24.2,22,,
Proportion of women in managerial positions (%),Botswana,Southern Africa,35.4,30.9,,33,,,30.5,,,37.9,38.6,,,,,,,
Proportion of women in managerial positions (%),Bouvet Island,South America,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Brazil,South America,,29,32.5,33.7,33.8,35.3,34.9,35.9,35.7,35.7,,36.1,38,38,38.7,39.4,39.7,39.9
Proportion of women in managerial positions (%),Belize,Central America,,,,,,,,,,,,,,,39.3,46.4,,51.1
Proportion of women in managerial positions (%),British Indian Ocean Territory,Eastern Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Solomon Islands,Melanesia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),British Virgin Islands,Caribbean,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Brunei Darussalam,South-Eastern Asia,,25.7,,,,,,,,,,,,,33.6,,,
Proportion of women in managerial positions (%),Bulgaria,Eastern Europe,29.8,32.7,33.5,31.3,34.4,34,31.6,31.4,32.3,32.2,33.3,36.8,36.4,36.5,36.7,36.5,37.9,39.2
Proportion of women in managerial positions (%),Myanmar,South-Eastern Asia,,,,,,,,,,,,,,,,28.4,,35.6
Proportion of women in managerial positions (%),Burundi,Eastern Africa,,,,,,,,,,,,,,,27.4,,,32.4
Proportion of women in managerial positions (%),Belarus,Eastern Europe,,,,,,,,,,46.3,,,,,,,46,47.6
Proportion of women in managerial positions (%),Cambodia,South-Eastern Asia,12.6,13.8,,,,,,,,,,,30.9,,,,,
Proportion of women in managerial positions (%),Cameroon,Middle Africa,,,,,,,,,,,,,,,49.3,,,
Proportion of women in managerial positions (%),Canada,Northern America,35.5,35,34.1,35.7,36.5,35.9,36.3,36.9,36,37,36.8,37.1,36.4,35.8,35.5,,,
Proportion of women in managerial positions (%),Cabo Verde,Western Africa,,,,,,,,,,,,,,,,42.3,,43.8
Proportion of women in managerial positions (%),Cayman Islands,Caribbean,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Central African Republic,Middle Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Sri Lanka,Southern Asia,,,21.7,20.4,19.8,22.4,20.5,23.8,23.9,25.1,25.5,25.5,28.4,29,24.8,,,27.6
Proportion of women in managerial positions (%),Chad,Middle Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Chile,South America,,,,,,,,,,,23.8,23.6,24,25,26.9,27.4,27.4,26.5
Proportion of women in managerial positions (%),China,Eastern Asia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Christmas Island,Australia and New Zealand,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Cocos (Keeling) Islands,Australia and New Zealand,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Colombia,South America,,,,,,,,,,53.4,,,,,,,,
Proportion of women in managerial positions (%),Comoros,Eastern Africa,,,,,26.1,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Mayotte,Eastern Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Congo,Western Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Democratic Republic of the Congo,Middle Africa,,,,,,8,,,,,,,20.2,,,,,
Proportion of women in managerial positions (%),Cook Islands,Polynesia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Costa Rica,Central America,32.9,25.4,26.1,29.1,26.2,24.9,29.9,27,30.4,,30,35.2,28.7,36.8,31.9,28.7,34.6,36.8
Proportion of women in managerial positions (%),Croatia,Southern Europe,24.7,24.7,27.1,24.6,22.6,24,25.6,20.7,25.4,25.2,25.8,24,26.1,24.4,23.2,26.7,29.9,29.1
Proportion of women in managerial positions (%),Cuba,Caribbean,,,,,,,,,,32.5,38.1,,,,,,,
Proportion of women in managerial positions (%),Cyprus,Western Asia,14.8,19,17.6,17.5,17.3,14.8,16.2,15.4,16.1,12.2,13.8,15,15.8,18.9,17.3,22.8,25.7,20.7
Proportion of women in managerial positions (%),Czechia,Eastern Europe,24.1,26.8,26.1,27.7,28.1,29.6,28.9,28.6,28.1,29,27.7,25.8,26.2,27.2,27.9,29.5,25.4,24.6
Proportion of women in managerial positions (%),Benin,Western Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Denmark,Northern Europe,24.2,21,21.4,25.8,23.8,24.2,24.5,28.3,23.9,24.9,22.7,27.8,28.5,27.2,26.3,26.9,28,27
Proportion of women in managerial positions (%),Dominica,Caribbean,,48.4,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Dominican Republic,Caribbean,30.2,30.7,30.2,31.1,32.9,32.4,37.7,30.8,34.9,31.1,34.2,42.5,40.9,36.9,35.3,37.2,36.6,41.1
Proportion of women in managerial positions (%),Ecuador,South America,29.3,26.5,25,34.9,32.2,34.1,27.3,37,32,32.2,32.5,40.1,38.5,35.4,34.6,32.9,35.4,34.8
Proportion of women in managerial positions (%),El Salvador,Central America,26.1,25.4,25.7,32.1,33,27.4,28.8,24.7,38.1,37.9,29,35.8,37.1,43.5,38.2,40.9,35.3,32.4
Proportion of women in managerial positions (%),Equatorial Guinea,Middle Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Ethiopia,Eastern Africa,,,,,,20.1,,,,,,,,26.5,,,,
Proportion of women in managerial positions (%),Eritrea,Eastern Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Estonia,Northern Europe,40.4,36.9,37.9,31.2,35.2,37.2,33,33.5,35.9,35.3,36.1,35.4,31.8,33.4,32.6,30.7,36.2,38.5
Proportion of women in managerial positions (%),Faroe Islands,Northern Europe,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Falkland Islands (Malvinas),South America,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),South Georgia and the South Sandwich Islands,South America,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Fiji,Melanesia,,,,,27.2,31.7,,23.8,,,,31.5,,,30.4,,38.9,
Proportion of women in managerial positions (%),Finland,Northern Europe,26.6,27.9,28.4,28.6,28.2,29.9,29.6,28.6,29.5,29.7,30.5,32,29.7,29.6,33.7,33.3,34.1,31.3
Proportion of women in managerial positions (%),?land Islands,Northern Europe,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),France,Western Europe,35,35.5,36.4,35.4,35.9,37.6,37.9,37.8,38.5,38.1,38.5,39.3,39.3,36,32.7,31.7,32.9,33.4
Proportion of women in managerial positions (%),French Guiana,South America,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),French Polynesia,Polynesia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),French Southern Territories,Eastern Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Djibouti,Eastern Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Gabon,Middle Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Georgia,Western Asia,19,23.4,27.5,28.4,25.6,26.3,32.5,34,,,,,,,,,,32
Proportion of women in managerial positions (%),Gambia,Western Africa,,,,,,,,,,,,,33.8,,,,,
Proportion of women in managerial positions (%),State of Palestine,Western Asia,12.5,10.6,9.6,12.4,11.2,12.3,11.9,10.3,,12.4,12.1,10.7,14.5,15,15.2,15.4,19.3,15.9
Proportion of women in managerial positions (%),Germany,Western Europe,27.1,26.9,27.3,28,27.7,28.2,28.5,28.7,29.2,29.7,29.9,30.3,28.6,28.9,29,29.3,29.3,29.2
Proportion of women in managerial positions (%),Ghana,Western Africa,,,,,,,12.2,,,,,,,40.8,,41.8,,
Proportion of women in managerial positions (%),Gibraltar,Southern Europe,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Kiribati,Micronesia,,,,,,27.3,,,,,36.5,,,,,,,
Proportion of women in managerial positions (%),Greece,Southern Europe,25.1,24.6,24.9,26.1,26,26.6,26.9,28.2,28.5,30.1,30.2,23.6,26,28.8,28.3,25.7,25.5,29.8
Proportion of women in managerial positions (%),Greenland,Northern America,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Grenada,Caribbean,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Guadeloupe,Caribbean,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Guam,Micronesia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Guatemala,Central America,,,,30.7,26.5,,,,,,57.5,58.2,44.9,35,34.5,31.8,44.6,
Proportion of women in managerial positions (%),Guinea,Western Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Guyana,South America,,,25.4,,,,,,,,,,,,,,,37.9
Proportion of women in managerial positions (%),Haiti,Caribbean,,,,24,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Heard Island and McDonald Islands,Australia and New Zealand,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Holy See,Southern Europe,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Honduras,Central America,,,,,,57.7,56.8,57.5,58.8,60.9,56.2,57.1,59.5,61.3,59.9,49.1,47,48.4
Proportion of women in managerial positions (%),"China, Hong Kong Special Administrative Region",Eastern Asia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Hungary,Eastern Europe,33.5,35.4,35.7,34.2,33.7,34.8,36.6,35.4,36.5,36.2,36.5,40.4,38.9,40.8,39.8,40.5,39.4,39.4
Proportion of women in managerial positions (%),Iceland,Northern Europe,29,28.9,29.4,37,33.6,27.4,29.4,29.7,32.9,33.6,34.3,39.8,39.9,37.6,37.2,38.2,34.2,32.4
Proportion of women in managerial positions (%),India,Southern Asia,14,,,,,15.2,,,,,12.2,,12.9,,,,,
Proportion of women in managerial positions (%),Indonesia,South-Eastern Asia,32.9,17.3,15.4,13.9,11.7,12.1,21.8,19.7,21.3,19.2,20.9,,19.3,21.6,23.5,22.4,,27.5
Proportion of women in managerial positions (%),Iran (Islamic Republic of),Southern Asia,,,,,,16.2,14.6,13.3,13.3,11.8,14.6,,,,18.2,16.4,17.3,19
Proportion of women in managerial positions (%),Iraq,Western Asia,,,,,,,,11.8,,,,,21.8,,,,,
Proportion of women in managerial positions (%),Ireland,Northern Europe,26.3,27.5,27.3,28.7,28.7,30.3,30.6,38.7,40,39.6,39.1,33.5,32.8,32.9,33.4,33.8,35.3,35.9
Proportion of women in managerial positions (%),Israel,Western Asia,27.2,27.1,26.9,29.6,28.7,27.6,30.1,29.7,32.1,31.2,34.8,35.5,31.8,32.7,32.8,32.2,34.1,34.5
Proportion of women in managerial positions (%),Italy,Southern Europe,14.3,18.8,20.2,20.8,33.3,32.5,33,33.7,33.4,33.8,32.9,25.1,26,27,26.6,26.6,27.7,27.5
Proportion of women in managerial positions (%),C?te d'Ivoire,Western Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Jamaica,Caribbean,,,,,,,,,,,,,,,,,,56.7
Proportion of women in managerial positions (%),Japan,Eastern Asia,,,,,,,,,,10.7,10.6,11.4,11.1,11.2,11.3,12.5,13,13.2
Proportion of women in managerial positions (%),Kazakhstan,Central Asia,,33,33.8,34.2,38,35.6,35.8,36.8,38.4,38.8,37.2,38.5,39.8,38.3,,37.1,,
Proportion of women in managerial positions (%),Jordan,Western Asia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Kenya,Eastern Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Democratic People's Republic of Korea,Eastern Asia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Republic of Korea,Eastern Asia,5,5.9,5.6,5.9,6.9,7.8,8.2,8.8,9.6,8.6,9.4,10.1,11.1,11.4,11.1,10.4,9.8,12.3
Proportion of women in managerial positions (%),Kuwait,Western Asia,,,,,,13.9,,,,,,,,,,14,13.6,
Proportion of women in managerial positions (%),Kyrgyzstan,Central Asia,,,27.7,25.8,25.2,30.1,35.2,,,30.6,32.4,29.1,32.3,27.5,33.4,35.7,34.9,36.2
Proportion of women in managerial positions (%),Lao People's Democratic Republic,South-Eastern Asia,,,,,,,,,,,31.8,,,,,,,59
Proportion of women in managerial positions (%),Lebanon,Western Asia,,,,,11.2,,,8.4,,,,,,,,,,
Proportion of women in managerial positions (%),Lesotho,Southern Africa,,,,,,,36.9,,36.1,,,,,,,,,
Proportion of women in managerial positions (%),Latvia,Northern Europe,37.1,38.4,40.3,39.3,43.6,43.3,40.2,42.5,42.5,44.3,42.1,45.5,45.8,43.8,44.1,44.3,47.3,46.3
