CountryName,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Low income,LIC,11.79761851,12.70925965,13.83120018,13.23288344,14.58512488,16.84849549,16.89653333,17.52371932,19.04779814,18.58407274,18.5911477,20.86834064,21.08123652,21.34124763,20.61441939,22.04157204,21.9728187,22.47289418,22.34463815
Liechtenstein,LIE,4,12,12,12,12,24,24,24,24,24,24,24,24,20,20,20,20,12,12
Sri Lanka,LKA,,,4.4,4.4,4.9,4.9,4.9,5.8,5.8,5.8,5.3,5.8,5.8,5.8,5.8,4.9,5.8,5.8,5.8
Lower middle income,LMC,8.638778759,9.166180595,10.68531779,10.72494516,11.29795424,12.47186262,12.91019025,13.78738828,14.31915635,15.71168433,16.28329409,15.9336614,16.77873615,18.5440187,19.33588168,20.07001253,20.04891064,20.45768747,20.21455935
Low & middle income,LMY,12.0595157,12.42055644,13.61593895,13.48159073,14.36216428,14.99813908,15.49030866,16.37898637,17.12466147,17.74706031,17.90257688,18.60745007,19.68974709,20.57059762,20.88334172,21.56399426,21.84986535,22.31644766,22.59911908
Lesotho,LSO,3.8,3.8,,11.7,11.7,11.7,11.7,23.5,25,24.2,24.2,24.2,26.7,26.7,26.7,25,25,22.9,22.1
Late-demographic dividend,LTE,14.76118328,15.11270213,15.69102577,15.06673359,15.77463008,16.02671674,16.050107,16.74306528,17.0792887,17.21466983,17.24862637,17.65925265,18.28347454,18.9057297,19.13040206,19.36189065,19.91135198,20.62605018,21.10123786
Lithuania,LTU,10.6,10.6,10.6,10.6,22,22,24.8,22.7,17.7,19.1,19.1,19.1,24.5,24.1,24.1,23.4,21.3,21.3,21.3
Luxembourg,LUX,16.7,16.7,16.7,16.7,23.3,23.3,23.3,23.3,23.3,20,20,25,21.7,23.3,28.3,28.3,28.3,28.3,28.3
Latvia,LVA,17,17,18,21,21,21,19,20,20,22,20,23,23,23,18,18,18,16,16
"Macao SAR, China",MAC,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,,,,,,,,,,,,,,,,,,,
Morocco,MAR,0.6,0.6,10.8,10.8,10.8,10.8,10.8,10.5,10.5,10.5,10.5,17,17,17,17,17,20.5,20.5,20.5
Monaco,MCO,22.2,22.2,22.2,20.8,20.8,20.8,20.8,20.8,25,26.1,26.1,19,19,20.8,20.8,20.8,20.8,20.8,33.3
Moldova,MDA,7.9,12.9,12.9,12.9,15.8,21.8,21.8,21.8,21.8,23.8,18.8,19.8,19.8,19.8,17.8,21.8,21.8,22.8,22.8
Madagascar,MDG,8,8,,3.8,6.9,6.9,6.9,7.9,7.9,,12.5,12.5,17.5,17.5,20.5,20.5,20.5,19.2,19.2
Maldives,MDV,6,6,6,6,6,12,12,12,12,6.5,6.5,6.5,6.5,6.5,5.9,5.9,5.9,5.9,5.9
Middle East & North Africa,MEA,4.199365609,4.32920147,5.897101932,5.871467391,6.600362558,6.169874477,8.062388451,8.355546855,8.308065779,8.792458678,10.42784461,10.05864662,13.14629917,15.93542654,16.08830514,16.38824577,17.01531003,16.22710138,16.63012967
Mexico,MEX,16,16,16,22.6,22.6,24.2,22.6,23.2,23.2,27.6,26.2,26.2,36.8,36.8,37.4,42.4,42.4,42.6,48.2
Marshall Islands,MHL,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9.1,9.1,9.1,9.1
Middle income,MIC,12.12621152,12.34541902,13.56404414,13.53270957,14.30209839,14.46544588,15.08641455,16.04459414,16.55361268,17.49611787,17.70854465,17.90994913,19.24155513,20.3227571,20.96569737,21.41039651,21.81023557,22.26573687,22.67764568
North Macedonia,MKD,6.7,6.7,17.5,18.3,19.2,19.2,28.3,29.2,31.7,32.5,32.5,30.9,32.5,34.1,33.3,33.3,33.3,34.2,38.3
Mali,MLI,12.2,12.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,9.5,8.8,8.8,8.8,8.8
Malta,MLT,9.2,9.2,9.2,7.7,9.2,9.2,9.2,9.2,8.7,8.7,8.7,8.7,8.7,14.3,14.3,12.9,12.9,11.9,11.9
Myanmar,MMR,,,,,,,,,,,4.3,3.5,6,6,5.6,12.7,9.9,10.2,10.2
Middle East & North Africa (excluding high income),MNA,3.873974122,3.981982982,5.678871681,6.008460305,6.968532587,6.40873965,8.638304455,8.852289604,8.773977695,9.099908229,10.98385001,10.51506024,14.16534805,16.41584266,16.75010854,16.90213536,17.55858738,16.58197412,16.96714801
Montenegro,MNE,,,,,,,8.6,11.1,11.1,11.1,11.1,12.3,17.3,16,17.3,17.3,23.5,23.5,23.5
Mongolia,MNG,10.5,10.5,10.5,10.5,6.8,6.7,6.6,6.6,4.2,3.9,3.9,3.9,14.9,14.9,14.9,14.5,17.1,17.1,17.1
Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,30,30,30,30,34.8,34.8,34.8,34.8,34.8,39.2,39.2,39.2,39.2,39.2,,39.6,39.6,39.6,39.6
Mauritania,MRT,3.8,,,3.7,3.7,,17.9,22.1,22.1,22.1,22.1,22.1,22.1,22.1,25.2,25.2,25.2,25.2,20.3
Mauritius,MUS,5.7,5.7,5.7,5.7,5.7,17.1,17.1,17.1,17.1,17.1,18.8,18.8,18.8,18.8,18.8,11.6,11.6,11.6,11.6
Malawi,MWI,9.3,9.3,9.3,9.3,14,13.6,13.6,13,13,20.8,20.8,22.3,22.3,22.3,16.7,16.7,16.7,16.7,16.7
Malaysia,MYS,10.4,10.4,10.4,10.5,9.1,9.1,9.1,10,10.8,9.9,9.9,10.4,10.4,10.4,10.4,10.4,10.4,10.4,13.9
North America,NAC,,16.69918478,16.58097826,16.87649457,17.47012113,17.64576043,18.1654105,18.65472973,19.1141319,18.99703903,18.99703903,20.11443995,20.78113208,20.73410014,21.69973046,22.28963731,22.29714286,22.40976563,22.85986928
Namibia,NAM,25,25,25,26.4,25,26.9,26.9,26.9,26.9,26.9,24.4,24.4,24.4,24.4,,41.3,41.3,41.3,46.2
New Caledonia,NCL,,,,,,,,,,,,,,,,,,,
Niger,NER,1.2,1.2,1.2,1.2,12.4,12.4,12.4,12.4,12.4,9.7,,13.3,13.3,13.3,13.3,13.3,14.6,17,17
Nigeria,NGA,3.4,3.4,3.4,4.9,4.7,6.4,6.1,7,7,7,7,6.8,6.7,6.7,6.7,5.6,5.6,5.6,5.6
Nicaragua,NIC,9.7,,20.7,20.7,20.7,20.7,15.2,18.5,18.5,20.7,20.7,40.2,40.2,40.2,42.4,41.3,41.3,45.7,45.7
Netherlands,NLD,36,36,34,36.7,36.7,36.7,36.7,39.3,41.3,42,40.7,40.7,38.7,38.7,38.7,37.3,37.3,36,36
Norway,NOR,36.4,35.8,36.4,36.4,38.2,37.9,37.9,36.1,36.1,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,41.4
Nepal,NPL,5.9,5.9,5.9,5.9,5.9,5.9,5.9,17.3,33.2,33.2,33.2,33.2,33.2,33.2,29.5,29.5,29.6,29.6,32.7
Nauru,NRU,,0,0,,0,0,0,0,0,0,0,0,0,5.3,5.3,5.3,5.3,10.5,10.5
New Zealand,NZL,30.8,30.8,29.2,28.3,28.3,32.2,32.2,33.1,33.6,33.6,33.6,32.2,32.2,32.2,29.8,31.4,31.4,34.2,38.3
OECD members,OED,18.14973162,17.81598961,19.2732256,19.55005063,20.14429558,20.77146029,21.21990125,22.38403548,22.5413199,23.25503322,23.26131012,24.0781379,25.17203825,26.17612391,26.86734987,27.95936829,28.09295069,29.05241019,29.71558782
Oman,OMN,,,,,2.4,2.4,2.4,0,0,0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Other small states,OSS,10.63993127,10.91869416,11.69297583,13.30845902,13.74719764,14.64955856,13.71365639,14.83212493,15.27421829,15.24304828,15.60331781,16.09976744,17.09556593,17.08708162,17.42894576,18.6196449,18.79218223,19.08192501,19.54392004
Pakistan,PAK,,,21.1,21.6,21.3,21.3,21.3,21.1,22.5,22.2,22.2,22.5,22.5,20.7,20.7,20.6,20.6,20.6,20.6
Panama,PAN,9.9,9.9,9.9,9.9,16.7,16.7,16.7,16.7,16.7,8.5,8.5,8.5,8.5,8.5,19.3,18.3,18.3,18.3,18.3
Peru,PER,,17.5,17.5,17.5,18.3,18.3,29.2,29.2,29.2,27.5,27.5,21.5,21.5,21.5,22.3,22.3,27.7,27.7,27.7
Philippines,PHL,11.3,17.8,17.8,17.8,15.3,15.3,15.3,20.5,20.5,21,22.1,22.9,22.9,27.1,27.3,27.2,29.8,29.5,29.5
Palau,PLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5
Papua New Guinea,PNG,1.8,1.8,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,2.7,2.7,2.7,2.7,2.7,0,0
Poland,POL,13,20.2,20.2,20.2,20.2,20.4,20.4,20.4,20.2,20,20,23.7,23.7,23.7,24.3,27.4,27.4,28,28
Pre-demographic dividend,PRE,10.00528787,11.28954018,12.55277075,13.0963095,13.68548682,15.28732441,16.0964885,16.6776502,17.22521961,17.42485198,17.19603945,19.53637048,20.15490982,21.03651133,20.89220837,21.84241223,21.83313922,22.53542727,22.25354089
Puerto Rico,PRI,,,,,,,,,,,,,,,,,,,
"Korea, Dem. People¡¯s Rep.",PRK,20.1,20.1,20.1,,20.1,20.1,20.1,20.1,20.1,15.6,15.6,15.6,15.6,15.6,16.3,16.3,16.3,16.3,16.3
Portugal,PRT,17.4,18.7,19.1,19.1,19.1,21.3,21.3,28.3,28.3,27.4,27.4,28.7,28.7,28.7,31.3,34.8,34.8,34.8,34.8
Paraguay,PRY,2.5,2.5,2.5,8.8,10,10,10,10,12.5,12.5,12.5,12.5,12.5,17.5,15,15,15,13.8,15
West Bank and Gaza,PSE,,,,,,,,,,,,,,,,,,,
Pacific island small states,PSS,,2.945427729,3.189825581,2.722492401,3.591282051,3.853984576,,,,,,,,,4.862972973,5.677297297,5.931266846,7.00296496,7.524462366
Post-demographic dividend,PST,19.41720341,18.95471178,20.12700831,20.73126632,21.67699009,22.04741214,22.78792039,23.66071239,24.32306467,24.74045826,24.86312162,25.31520443,25.94023417,27.33905852,28.13201041,28.57870591,28.58581476,29.73100725,30.3028169
French Polynesia,PYF,,,,,,,,,,,,,,,,,,,
Qatar,QAT,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,9.8
Romania,ROU,,10.7,10.7,10.7,11.4,11.2,11.2,9.4,11.4,11.4,11.4,11.2,13.3,13.3,13.5,13.7,13.7,20.7,20.7
Russian Federation,RUS,7.7,7.6,7.6,7.6,9.8,9.8,9.8,14,14,14,14,13.6,13.6,13.6,13.6,13.6,12.7,15.8,15.8
Rwanda,RWA,25.7,25.7,25.7,48.8,48.8,48.8,48.8,48.8,56.3,56.3,56.3,56.3,56.3,63.8,63.8,63.8,63.8,61.3,61.3
South Asia,SAS,8.446833464,8.104324895,9.084903581,9.179118457,9.026113249,13.27747748,12.85611374,14.28653539,18.46247326,20.05730198,20.0519802,20.34092219,20.34092219,20.04170124,19.23107158,19.31554553,19.40645029,19.408097,18.25696624
Saudi Arabia,SAU,,,,0,0,0,0,0,0,0,0,0,0,19.9,19.9,19.9,19.9,19.9,19.9
Sudan,SDN,,9.7,9.7,9.7,9.7,14.7,17.8,18.1,18.1,18.9,25.6,24.6,24.6,24.6,24.3,30.5,30.5,30.5,30.5
Senegal,SEN,12.1,16.7,19.2,19.2,19.2,19.2,19.2,22,22,22.7,22.7,22.7,42.7,42.7,43.3,42.7,42.7,41.8,41.8
Singapore,SGP,4.3,11.8,11.8,16,16,16,21.2,24.5,24.5,23.4,23.4,22.2,24.2,24.2,25.3,23.9,23.8,23,23
Solomon Islands,SLB,2,,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4
Sierra Leone,SLE,8.8,8.8,,14.5,14.5,14.5,14.5,13.2,13.2,13.2,13.2,12.9,12.4,12.4,12.1,12.4,12.4,12.4,12.3
El Salvador,SLV,9.5,9.5,9.5,10.7,10.7,10.7,16.7,16.7,16.7,19,19,19,26.2,26.2,27.4,32.1,32.1,32.1,31
San Marino,SMR,13.3,16.7,16.7,16.7,16.7,16.7,11.7,11.7,15,16.7,16.7,18.3,16.7,18.3,18.3,16.7,16.7,26.7,26.7
Somalia,SOM,,,,,,8,7.8,8.2,8.2,6.9,6.8,6.8,13.8,13.8,13.8,13.8,13.8,24.4,24.4
Serbia,SRB,,,,,,,12,20.4,21.6,21.6,21.6,22,33.2,33.2,34,34,34,34.4,34.4
Sub-Saharan Africa (excluding high income),SSA,11.5090581,12.22628676,13.37324992,13.63859518,14.67142107,16.18127013,16.58526155,17.28165749,17.77779637,18.44698309,18.72452952,20.45429452,21.29513678,22.17113906,22.02233965,23.56647426,23.50485577,24.23973934,24.01470102
South Sudan,SSD,,,,,,,,,,,,26.5,26.5,26.5,26.5,26.5,28.5,28.5,28.5
Sub-Saharan Africa,SSF,11.5821736,12.28469979,13.46486214,13.71844733,14.73683867,16.2389124,16.64047649,17.30862135,17.80272972,18.46857717,18.74536704,20.54599239,21.38235437,22.25145045,22.10666747,23.64094778,23.49641589,24.22870034,24.00450955
Small states,SST,9.889519651,10.33511905,10.998999,12.28185396,12.87433453,13.52849206,12.99568093,13.91145426,14.0648824,14.03075995,13.89508659,14.3802732,15.12278226,15.30465587,15.48553382,16.94445746,17.23183044,17.73627639,18.24549618
Sao Tome and Principe,STP,9.1,9.1,,9.1,9.1,9.1,7.3,1.8,7.3,7.3,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2
Suriname,SUR,,17.6,17.6,17.6,19.6,25.5,25.5,25.5,25.5,25.5,9.8,11.8,11.8,11.8,11.8,25.5,25.5,25.5,25.5
Slovak Republic,SVK,14,14,17.3,19.3,16.7,16.7,20,19.3,19.3,18,15.3,16,18.7,18.7,18.7,18.7,20,20,20
Slovenia,SVN,,12.2,12.2,12.2,12.2,12.2,12.2,12.2,13.3,14.4,14.4,32.2,32.2,32.2,35.6,36.7,36.7,36.7,24.4
Sweden,SWE,42.7,42.7,45,45.3,45.3,45.3,47.3,47,47,46.4,45,44.7,44.7,44.7,44.7,43.6,43.6,43.6,46.1
Eswatini,SWZ,3.1,3.1,3.1,10.8,10.8,10.8,10.8,10.8,13.8,13.6,13.6,13.6,13.6,6.2,6.2,6.2,6.2,6.2,7.2
Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,23.5,23.5,29.4,29.4,29.4,29.4,29.4,23.5,23.5,23.5,23.5,43.8,43.8,43.8,43.8,43.8,21.2,21.2,21.2
Syrian Arab Republic,SYR,10.4,10.4,10.4,12,12,12,12,12,12.4,12.4,12.4,12.4,12,12,12,12.4,13.2,13.2,13.2
Turks and Caicos Islands,TCA,,,,,,,,,,,,,,,,,,,
Chad,TCD,2.4,2.4,,5.8,6.5,6.5,6.5,5.2,5.2,5.2,5.2,12.8,14.9,14.9,14.9,14.9,14.9,12.8,15.3
East Asia & Pacific (IDA & IBRD countries),TEA,16.93229493,17.21480487,17.75400722,16.79433764,16.73272758,16.88689362,17.26870724,17.66289986,17.96408304,18.78648323,18.0844177,18.07136015,18.41880952,19.62235946,19.27962657,20.05178179,20.16011245,20.47314097,21.04347329
Europe & Central Asia (IDA & IBRD countries),TEC,8.619493455,10.76241838,12.82909796,10.63850402,12.41608905,12.3429783,12.79498389,14.81262799,15.10279081,15.82004085,15.87837351,16.88629396,18.22629834,18.43084236,18.8653093,18.8874833,19.35430219,21.05571754,21.44713835
Togo,TGO,4.9,4.9,4.9,7.4,6.2,7.4,8.6,11.1,11.1,11.1,11.1,11.1,11.1,15.4,17.6,17.6,17.6,17.6,17.6
Thailand,THA,4.8,9.2,9.2,9.2,8.8,10.6,8.7,11.7,11.7,13.3,13.3,15.8,15.8,15.8,6.1,6.1,6.1,4.8,5.3
Tajikistan,TJK,15,12.7,12.7,12.7,12.7,17.5,17.5,17.5,17.5,17.5,19,19,19,19,16.9,19,19,19,19
Turkmenistan,TKM,26,26,26,26,,16,16,16,,16.8,16.8,16.8,16.8,16.8,26.4,25.8,25.8,25.8,24.8
Latin America & the Caribbean (IDA & IBRD countries),TLA,12.6440411,11.71530815,13.98195046,15.36664726,16.04395349,17.48605867,17.68203438,18.69439038,18.70202973,19.36191289,19.66406977,19.59484127,21.29665533,20.529324,24.07906977,24.26897077,25.49323753,26.21255944,27.19482711
Timor-Leste,TLS,,,,26.1,25.3,25.3,25.3,29.2,29.2,29.2,29.2,32.3,38.5,38.5,38.5,38.5,38.5,32.3,33.8
Middle East & North Africa (IDA & IBRD countries),TMN,3.873974122,3.981982982,5.678871681,6.008460305,6.968532587,6.40873965,8.638304455,8.852289604,8.773977695,9.099908229,10.98385001,10.51506024,14.16534805,16.41584266,16.75010854,16.90213536,17.55858738,16.58197412,16.96714801
Tonga,TON,0,0,,0,0,3.4,3.3,3.3,3.1,3.1,0,3.6,3.6,3.6,0,0,0,3.8,7.4
South Asia (IDA & IBRD),TSA,8.446833464,8.104324895,9.084903581,9.179118457,9.026113249,13.27747748,12.85611374,14.28653539,18.46247326,20.05730198,20.0519802,20.34092219,20.34092219,20.04170124,19.23107158,19.31554553,19.40645029,19.408097,18.25696624
Sub-Saharan Africa (IDA & IBRD countries),TSS,11.5821736,12.28469979,13.46486214,13.71844733,14.73683867,16.2389124,16.64047649,17.30862135,17.80272972,18.46857717,18.74536704,20.54599239,21.38235437,22.25145045,22.10666747,23.64094778,23.49641589,24.22870034,24.00450955
Trinidad and Tobago,TTO,,11.1,19.4,19.4,19.4,19.4,19.4,26.8,26.8,26.8,28.6,28.6,28.6,28.6,28.6,31,31,31,31
Tunisia,TUN,11.5,11.5,11.5,11.5,22.8,22.8,22.8,22.8,22.8,27.6,27.6,26.7,26.7,26.7,31.3,31.3,31.3,31.3,31.3
Turkey,TUR,4.2,4.2,,4.4,4.4,4.4,4.4,9.1,9.1,9.1,9.1,14.2,14.2,14.4,14.4,14.9,14.9,14.6,17.4
Tuvalu,TUV,0,0,,0,0,0,0,0,0,0,0,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
Tanzania,TZA,,22.3,22.3,21.4,21.4,30.4,30.4,30.4,30.4,30.7,,36,36,36,36,36,36.6,36.4,37.2
Uganda,UGA,17.8,24.7,24.7,24.7,23.9,23.9,29.8,30.7,30.7,31.5,31.3,35,35,35,35,35,33.5,34.3,34.3
Ukraine,UKR,7.8,7.8,,5.3,5.3,5.3,8.7,8.2,8.2,8,8,8,9.4,9.4,11.7,12.1,12,12.3,12.3
Upper middle income,UMC,14.44323207,14.35341835,15.44850109,15.51554217,16.40489748,15.79861066,16.55292468,17.47337157,18.02538589,18.68090248,18.69786754,19.35283384,20.95067075,21.56412256,22.11205889,22.36631998,23.15945336,23.65078626,24.55019496
Uruguay,URY,12.1,12.1,12.1,12.1,12.1,11.1,11.1,12.1,12.1,14.1,15.2,12.1,12.1,12.1,16.2,16.2,16.2,20.2,20.2
United States,USA,,14,13.8,14.3,14.9,15.2,16.3,16.8,17,16.8,16.8,16.8,18,17.9,19.3,19.4,19.4,19.4,19.6
Uzbekistan,UZB,7.2,7.2,7.2,7.2,17.5,17.5,17.5,17.5,17.5,22,22,22,22,22,22,16,16,16,16
St. Vincent and the Grenadines,VCT,4.8,,22.7,22.7,22.7,18.2,18.2,18.2,18.2,21.7,14.3,17.4,17.4,13,13,13,13,13,13
"Venezuela, RB",VEN,,9.7,9.7,9.7,9.7,17.4,18,18.6,18.6,17.5,17,17,17,17,17,17,14.4,22.2,22.2
British Virgin Islands,VGB,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,,,,,,,,,,,,,,,,,,,
Vietnam,VNM,26,26,27.3,27.3,27.3,27.3,27.3,25.8,25.8,25.8,25.8,24.4,24.4,24.4,24.3,24.3,26.7,26.7,26.7
Vanuatu,VUT,0,0,1.9,1.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,1.9,0,0,0,0,0,0,0
World,WLD,13.90517836,14.08638571,15.16407037,15.17573878,15.89743916,16.48182213,16.97767633,17.87018288,18.44565439,19.028457,19.15964286,19.82915925,20.75718787,21.76572434,22.18443809,22.85216588,23.02033477,23.65062513,23.96870428
Samoa,WSM,8.2,6.1,6.1,6.1,6.1,6.1,6.1,8.2,8.2,8.2,8.2,4.1,4.1,4.1,6.1,6.1,10,10,10
Kosovo,XKX,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,0.7,0.7,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0
South Africa,ZAF,29.8,29.8,29.8,29.8,32.8,32.8,32.8,33,33,44.5,44.5,42.3,42.3,42.3,41.5,42,41.8,42,42.3
Zambia,ZMB,10.1,10.1,12,12,12,12.7,14.6,15.2,15.2,14,14,11.5,11.5,11.5,10.8,12.7,18,18,18
Zimbabwe,ZWE,9.3,10,10,10,10,16,16.7,16,15.2,15,15,15,15,31.5,31.5,31.5,31.5,32.6,31.5
